Fecha;PM10;PM2-5;Velocidad;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;T;Radiación;HR
27-08-2023;48,8;33;4,6;0;275;26,8;0,5;14,2;17,3;30,3;7,5;23;0;0
28-08-2023;86,6;41;4,1;0;356;24;0,7;34;23,2;57,2;5,5;20,8;0;0
29-08-2023;98;38;3,7;0;353;22,2;0,6;26,1;22,6;48,7;6,2;21,8;0;0
30-08-2023;66,8;25;4,4;0;352;18,2;0,6;19,8;21,8;41,6;3,6;20,1;0;0
31-08-2023;90,3;46;4,7;0;128;22,4;0,6;22,7;23;44,9;2,5;20,1;0;0
01-09-2023;73,9;31;4,2;0;358;22,4;0,7;36,1;23,1;56,4;4,6;22,2;0;0
02-09-2023;88,1;41;2,4;10,4;357;30,3;0,8;46,3;24,3;67,6;7,2;21,6;0;0
03-09-2023;34,3;20;3,9;0;304;23,4;0,6;12,8;19,6;27,6;4,5;20,1;0;0
04-09-2023;55,7;25;5;0;359;23;0,5;24,7;22,5;47,1;2,1;19,2;0;0
05-09-2023;78,3;35;5,1;0;343;22,3;0,7;44,6;20,3;64,9;2,5;20,9;0;0
06-09-2023;101,3;40;4,6;0;359;23,4;0,6;29;21,5;49,2;4,7;20,7;0;0
07-09-2023;64,9;27;3,3;0;138;21,2;0,5;28,6;24,2;50,6;5;19,1;0;0
08-09-2023;69,7;32;4;0;354;29,7;0,7;43,8;25,3;65,7;12,4;19,5;0;0
09-09-2023;78,9;33;4,7;0;127;21,5;0,6;31,6;22,4;50;3,3;19,9;0;0
10-09-2023;30,5;20;3,2;4,6;359;22;0,4;8,8;18;25;6;19,7;0;0
11-09-2023;40,8;25;3,8;0,5;335;21,9;0,7;44,5;22,3;65,6;2,6;22,9;0;0
12-09-2023;67,9;30;3,9;0;351;18,3;0,7;56;21,6;71,2;6,8;21,2;0;0
13-09-2023;59,5;31;4;0;355;19,4;0,7;53,9;19,8;71,4;6,9;22,8;0;0
14-09-2023;43,3;25;4;0,9;126;18,9;0,6;36,8;20,3;56,8;4;20,2;0;0
15-09-2023;48,2;22;4,3;0;352;23,5;0,6;12,7;24,1;33,6;4,4;19,7;0;0
16-09-2023;86,4;38;3;0;356;22,2;0,7;50,5;20,1;70,6;13,3;20,5;0;0
