Fecha;PM10;PM2-5;Velocidad;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;T;Radiación ;HR
03-05-2023;30;11;4,2;0;333;23;0,7;24,7;15,7;38,6;0,7;18,4;0;0
04-05-2023;39,4;11;3;0;356;22,6;0,4;10,1;9,6;19,7;0,4;18,8;0;0
05-05-2023;41,5;16;2,6;0;338;26;0,5;8;10,4;18,4;0,3;19,3;0;0
06-05-2023;42,2;21;4,8;0;359;25,6;0,3;7,8;8,4;15,6;0,3;20,5;0;0
07-05-2023;28,8;10;4;0;331;26,7;0,2;3,7;5,1;8,8;0,3;22,1;0;0
08-05-2023;67,6;29;2,2;0;354;21,9;1,6;98,8;27,8;126,6;2,7;18,6;0;0
09-05-2023;28,8;10;3,2;0;350;17,6;0,7;23,3;15,6;38,9;0,7;18,7;0;0
10-05-2023;18,8;7;3,7;0;186;19,4;0,6;18,9;15,7;34,6;0,4;18,9;0;0
11-05-2023;50;20;5,5;11,1;353;21,3;1;20,3;26,5;44,8;0,7;19,5;0;0
12-05-2023;25,7;15;4,2;4;360;25,2;1,3;35,4;23,7;59,2;1;19,7;0;0
13-05-2023;17,6;9;4,8;0;177;27,1;0,3;5,7;8,2;13,9;0,5;19,6;0;0
14-05-2023;18,9;10;4,2;0;340;11,3;0,5;9,6;13,5;23,1;1,2;17,9;0;0
15-05-2023;14,7;7;3,9;0;358;11,3;0,5;12,7;7;19,3;0,5;18,5;0;0
16-05-2023;39,6;19;3,8;0,1;353;14,6;1,3;79,8;27,5;93;2;21,3;0;0
17-05-2023;41,3;22;3,1;1,6;305;15,3;1,3;49;21,1;66;1,6;20,2;0;0
18-05-2023;19,5;10,5;4,4;0;215;17,3;0,4;11,4;7,3;17,7;0,7;22,1;0;0
19-05-2023;18,1;9;2,8;0;357;19,1;0,6;24,5;12,6;35,7;0,9;20,1;0;0
20-05-2023;35,5;18;3;0;351;18,5;0,9;39;19,6;54,4;1,9;19;0;0
21-05-2023;31,8;16;4,2;0;341;24,7;0,7;29,8;14,5;42;1,5;19,7;0;0
22-05-2023;23,1;18;1,4;1,2;343;28,7;1;24,1;23,5;47,6;2,2;20,3;0;0
23-05-2023;36,5;22;2,7;31,4;359;15,4;1,3;39,1;30,1;66,8;1,6;19,9;0;0
24-05-2023;58,8;31;3,1;17,1;297;26,3;1,9;114,3;21,9;131,4;2,9;19,7;0;0
25-05-2023;49,8;45;2,4;13,1;335;19,7;1,8;55,2;49,1;95;1,9;19,8;0;0
26-05-2023;22,3;9;4,4;0,6;349;14,9;1;40,6;11,1;49,7;1,5;17;0;0
27-05-2023;37,1;15;4;0,5;352;12,3;1,3;47,2;10,3;56,3;1,8;19;0;0
28-05-2023;25,7;6;3,6;0,4;360;0;1,1;37,8;10,5;48,3;1,4;19,5;0;0
29-05-2023;50,3;28;2,7;0,6;350;0;1,4;71,2;22,9;82,7;2,4;20,2;0;0
30-05-2023;80,3;32;3,9;0;292;16;1,2;47,9;39,5;67,2;2,2;18,6;0;0
31-05-2023;19,5;9;4,5;0,4;357;14;0,4;12,4;9;21,3;1;19,5;0;0
01-06-2023;21;21;3,3;0,8;263;12,8;0,5;24,8;10,2;35;1;18;0;0
02-06-2023;17,4;13;5,1;0,1;310;26;0,4;9,5;14,5;21,6;1;17,6;0;0
03-06-2023;30;22;5,1;0;177;22,3;0,8;41,8;19,9;57,4;1,5;19,6;0;0
04-06-2023;28,5;10;3,2;0,1;350;20,4;0,8;28,3;19,6;47,4;1,2;19,2;0;0
05-06-2023;20,5;10;3,7;3,5;346;16,8;0,6;20,5;13,2;31,7;1;19;0;0
06-06-2023;10,2;9;3,1;0,1;332;17;0,3;8,6;7,3;15,9;0,8;17,9;0;0
07-06-2023;19,1;9;3,2;0;215;15,7;0,5;22,2;11,6;33,7;1;18,2;0;0
08-06-2023;32,2;10;2,8;0,2;357;15,5;0,6;36,2;15,4;51,6;1,4;18,6;0;0
09-06-2023;34;16;2,9;0;353;15,1;1,1;64,9;16,7;81,7;1,8;19;0;0
10-06-2023;50,9;17;2,6;0;355;15,2;1,2;59,9;25,4;73,2;1,6;20,1;0;0
11-06-2023;25,5;12;4,5;0,2;359;15,5;0,7;30,5;12,2;41,6;1,3;18,4;0;0
12-06-2023;17,6;9;3,3;0;353;21;0,6;19,1;11,9;27,7;0,7;17,6;0;0
